
Host: CHEM9QDFT72ALT

Timers On : Mon Jun  2 11:40:51 2025
Timers Off: Mon Jun  2 11:41:26 2025

Wall Time:       34.84 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: Form D                          :      0.000u      0.000s      0.002w   1730 calls
HF: DIIS                            :      2.200u      0.650s      1.983w   1523 calls
HF: Form C                          :      0.233u      0.000s      0.121w   1523 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.002w      3 calls
Grad: S                             :      0.000u      0.000s      0.001w      3 calls
Grad: JK                            :      0.050u      0.017s      0.033w      3 calls
JKGrad: Amn                         :      0.017u      0.000s      0.004w      3 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      3 calls
JKGrad: AB                          :      0.000u      0.000s      0.005w      3 calls
JKGrad: UV                          :      0.000u      0.000s      0.000w      3 calls
JKGrad: ABx                         :      0.000u      0.000s      0.003w      3 calls
JKGrad: Amnx                        :      0.033u      0.000s      0.018w      3 calls
Grad: XC                            :      0.183u      0.000s      0.123w      3 calls
V_xc gradient                       :      0.083u      0.000s      0.046w   1186 calls
RV: Form Vx                         :    135.000u      5.667s     84.399w   1228 calls
Derivative Properties               :     57.167u      1.150s     34.912w 1381340 calls
V_XCd                               :     31.600u      0.800s     19.315w 1381340 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.733u      0.150s      1.127w    209 calls
| build grid                        :      1.017u      0.067s      0.590w    209 calls
| post-process grid                 :      0.717u      0.083s      0.531w    209 calls
DFH: sparsity prep                  :      0.333u      0.000s      0.205w    209 calls
| Libint2ERI::Libint2ERI            :      0.200u      0.000s      0.110w    209 calls
DFH: initialize()                   :      1.400u      0.150s      1.052w    209 calls
| Libint2ERI::Libint2ERI            :      0.133u      0.000s      0.092w    418 calls
| DFH: AO Construction              :      0.150u      0.000s      0.097w    209 calls
| DFH: AO-Met. Contraction          :      0.217u      0.000s      0.192w    314 calls
| Libint2ErfERI::Libint2ErfERI      :      0.133u      0.000s      0.058w    105 calls
| DFH: wAO Construction             :      0.067u      0.000s      0.051w    105 calls
| DFH: wAO Copy                     :      0.000u      0.000s      0.003w    105 calls
HF: Form core H                     :      0.017u      0.017s      0.069w    209 calls
HF: Form S/X                        :      0.017u      0.000s      0.009w    209 calls
HF: Guess                           :      2.350u      0.633s      1.684w    209 calls
| SAD Guess                         :      2.283u      0.633s      1.620w    207 calls
HF: Form G                          :     54.783u      3.083s     34.779w   1730 calls
| RV: Form V                        :     53.667u      2.983s     33.974w   1730 calls
| | Properties                      :     14.783u      0.533s      9.092w 678942 calls
| | Functional                      :     23.267u      0.417s     14.276w 678942 calls
| | V_xc                            :     14.767u      0.500s      9.237w 678942 calls
| JK: D                             :      0.000u      0.000s      0.002w   1730 calls
| JK: USO2AO                        :      0.050u      0.000s      0.011w   1730 calls
| JK: JK                            :      1.017u      0.083s      0.693w   1730 calls
| | DFH: compute_JK()               :      0.617u      0.033s      0.384w   1730 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.001w   1730 calls
| | | DFH: compute_J                :      0.050u      0.000s      0.026w   1730 calls
| | | DFH: compute_K                :      0.550u      0.000s      0.334w   1730 calls
| | DFH: compute_wK()               :      0.367u      0.050s      0.304w    947 calls
| JK: AO2USO                        :      0.000u      0.000s      0.018w   1730 calls
HF: Form F                          :      0.000u      0.017s      0.004w   1730 calls
HF: Form D                          :      0.000u      0.000s      0.002w   1730 calls
HF: DIIS                            :      2.200u      0.650s      1.983w   1523 calls
HF: Form C                          :      0.233u      0.000s      0.121w   1523 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.002w      3 calls
Grad: S                             :      0.000u      0.000s      0.001w      3 calls
Grad: JK                            :      0.050u      0.017s      0.033w      3 calls
| JKGrad: Amn                       :      0.017u      0.000s      0.004w      3 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.002w      3 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      3 calls
| JKGrad: AB                        :      0.000u      0.000s      0.005w      3 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      3 calls
| JKGrad: UV                        :      0.000u      0.000s      0.000w      3 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.003w      3 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      3 calls
| JKGrad: Amnx                      :      0.033u      0.000s      0.018w      3 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.002w      3 calls
Grad: XC                            :      0.183u      0.000s      0.123w      3 calls
| Properties                        :      0.067u      0.000s      0.052w   1186 calls
| Functional                        :      0.033u      0.000s      0.022w   1186 calls
| V_xc gradient                     :      0.083u      0.000s      0.046w   1186 calls
JK: D                               :      0.000u      0.017s      0.003w   1228 calls
JK: USO2AO                          :      0.050u      0.000s      0.021w   1228 calls
JK: JK                              :      3.183u      0.200s      2.105w   1228 calls
| DFH: compute_JK()                 :      1.717u      0.083s      1.075w   1228 calls
| | DFH: Grabbing AOs               :      0.000u      0.000s      0.001w   1228 calls
| | DFH: compute_J                  :      0.083u      0.000s      0.067w   1228 calls
| | DFH: compute_K                  :      1.633u      0.017s      0.956w   1228 calls
| DFH: compute_wK()                 :      1.467u      0.117s      1.026w   1220 calls
JK: AO2USO                          :      0.050u      0.000s      0.040w   1228 calls
RV: Form Vx                         :    135.000u      5.667s     84.399w   1228 calls
| Properties                        :     22.333u      0.417s     14.413w 479555 calls
| Functional                        :     21.700u      0.333s     12.981w 479555 calls
| Derivative Properties             :     57.167u      1.150s     34.912w 1381340 calls
| V_XCd                             :     31.600u      0.800s     19.315w 1381340 calls

**************************************************************************************

Host: CHEM9QDFT72ALT

Timers On : Thu Jun 19 10:05:40 2025
Timers Off: Thu Jun 19 10:05:57 2025

Wall Time:       17.71 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.667u      0.033s      0.344w     68 calls
build grid                          :      0.350u      0.017s      0.180w     68 calls
post-process grid                   :      0.300u      0.017s      0.162w     68 calls
DFH: sparsity prep                  :      0.183u      0.000s      0.063w     68 calls
Libint2ERI::Libint2ERI              :      0.133u      0.017s      0.065w    216 calls
DFH: initialize()                   :      0.283u      0.117s      0.229w     68 calls
DFH: AO Construction                :      0.050u      0.000s      0.029w     68 calls
DFH: AO-Met. Contraction            :      0.067u      0.017s      0.040w     68 calls
HF: Form core H                     :      0.000u      0.017s      0.021w     68 calls
HF: Form S/X                        :      0.000u      0.000s      0.003w     68 calls
HF: Guess                           :      0.767u      0.150s      0.497w     68 calls
SAD Guess                           :      0.733u      0.150s      0.477w     64 calls
HF: Form G                          :     15.383u      0.850s      9.491w    502 calls
RV: Form V                          :     14.900u      0.817s      9.257w    491 calls
Properties                          :      4.700u      0.133s      2.713w 200830 calls
Functional                          :      6.117u      0.150s      3.877w 200830 calls
V_xc                                :      4.283u      0.050s      2.619w 196468 calls
JK: D                               :      0.000u      0.000s      0.001w    510 calls
JK: USO2AO                          :      0.000u      0.000s      0.003w    510 calls
JK: JK                              :      0.200u      0.017s      0.115w    510 calls
DFH: compute_JK()                   :      0.200u      0.017s      0.114w    510 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    510 calls
DFH: compute_J                      :      0.000u      0.000s      0.008w    510 calls
DFH: compute_K                      :      0.183u      0.000s      0.098w    510 calls
JK: AO2USO                          :      0.017u      0.000s      0.004w    510 calls
UV: Form V                          :      0.150u      0.017s      0.093w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w    502 calls
HF: Form D                          :      0.000u      0.000s      0.001w    502 calls
HF: DIIS                            :      0.817u      0.250s      1.443w    438 calls
HF: Form C                          :      0.050u      0.000s      0.034w    438 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.000w      3 calls
Grad: S                             :      0.000u      0.000s      0.000w      3 calls
Grad: JK                            :      0.017u      0.000s      0.021w      3 calls
JKGrad: Amn                         :      0.000u      0.000s      0.004w      3 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      3 calls
JKGrad: AB                          :      0.000u      0.000s      0.005w      3 calls
JKGrad: UV                          :      0.000u      0.000s      0.000w      3 calls
JKGrad: ABx                         :      0.000u      0.000s      0.002w      3 calls
JKGrad: Amnx                        :      0.017u      0.000s      0.008w      3 calls
Grad: XC                            :      0.183u      0.017s      0.121w      3 calls
V_xc gradient                       :      0.050u      0.000s      0.045w   1186 calls
RV: Form Vx                         :      0.733u      0.033s      0.450w      8 calls
Derivative Properties               :      0.250u      0.017s      0.178w   7543 calls
V_XCd                               :      0.167u      0.017s      0.101w   7543 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.667u      0.033s      0.344w     68 calls
| build grid                        :      0.350u      0.017s      0.180w     68 calls
| post-process grid                 :      0.300u      0.017s      0.162w     68 calls
DFH: sparsity prep                  :      0.183u      0.000s      0.063w     68 calls
| Libint2ERI::Libint2ERI            :      0.083u      0.000s      0.033w     68 calls
DFH: initialize()                   :      0.283u      0.117s      0.229w     68 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.017s      0.029w    136 calls
| DFH: AO Construction              :      0.050u      0.000s      0.029w     68 calls
| DFH: AO-Met. Contraction          :      0.067u      0.017s      0.040w     68 calls
HF: Form core H                     :      0.000u      0.017s      0.021w     68 calls
HF: Form S/X                        :      0.000u      0.000s      0.003w     68 calls
HF: Guess                           :      0.767u      0.150s      0.497w     68 calls
| SAD Guess                         :      0.733u      0.150s      0.477w     64 calls
HF: Form G                          :     15.383u      0.850s      9.491w    502 calls
| RV: Form V                        :     14.900u      0.817s      9.257w    491 calls
| | Properties                      :      4.367u      0.117s      2.548w 194157 calls
| | Functional                      :      5.883u      0.150s      3.753w 194157 calls
| | V_xc                            :      4.250u      0.050s      2.591w 194157 calls
| JK: D                             :      0.000u      0.000s      0.001w    502 calls
| JK: USO2AO                        :      0.000u      0.000s      0.003w    502 calls
| JK: JK                            :      0.200u      0.017s      0.110w    502 calls
| | DFH: compute_JK()               :      0.200u      0.017s      0.109w    502 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    502 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.007w    502 calls
| | | DFH: compute_K                :      0.183u      0.000s      0.093w    502 calls
| JK: AO2USO                        :      0.017u      0.000s      0.004w    502 calls
| UV: Form V                        :      0.150u      0.017s      0.093w     11 calls
| | Properties                      :      0.067u      0.017s      0.025w   2311 calls
| | Functional                      :      0.050u      0.000s      0.035w   2311 calls
| | V_xc                            :      0.033u      0.000s      0.028w   2311 calls
HF: Form F                          :      0.000u      0.000s      0.001w    502 calls
HF: Form D                          :      0.000u      0.000s      0.001w    502 calls
HF: DIIS                            :      0.817u      0.250s      1.443w    438 calls
HF: Form C                          :      0.050u      0.000s      0.034w    438 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.000w      3 calls
Grad: S                             :      0.000u      0.000s      0.000w      3 calls
Grad: JK                            :      0.017u      0.000s      0.021w      3 calls
| JKGrad: Amn                       :      0.000u      0.000s      0.004w      3 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      3 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      3 calls
| JKGrad: AB                        :      0.000u      0.000s      0.005w      3 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      3 calls
| JKGrad: UV                        :      0.000u      0.000s      0.000w      3 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.002w      3 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      3 calls
| JKGrad: Amnx                      :      0.017u      0.000s      0.008w      3 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.002w      3 calls
Grad: XC                            :      0.183u      0.017s      0.121w      3 calls
| Properties                        :      0.100u      0.000s      0.051w   1186 calls
| Functional                        :      0.033u      0.000s      0.022w   1186 calls
| V_xc gradient                     :      0.050u      0.000s      0.045w   1186 calls
JK: D                               :      0.000u      0.000s      0.000w      8 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      8 calls
JK: JK                              :      0.000u      0.000s      0.005w      8 calls
| DFH: compute_JK()                 :      0.000u      0.000s      0.005w      8 calls
| | DFH: Grabbing AOs               :      0.000u      0.000s      0.000w      8 calls
| | DFH: compute_J                  :      0.000u      0.000s      0.000w      8 calls
| | DFH: compute_K                  :      0.000u      0.000s      0.005w      8 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      8 calls
RV: Form Vx                         :      0.733u      0.033s      0.450w      8 calls
| Properties                        :      0.167u      0.000s      0.088w   3176 calls
| Functional                        :      0.150u      0.000s      0.068w   3176 calls
| Derivative Properties             :      0.250u      0.017s      0.178w   7543 calls
| V_XCd                             :      0.167u      0.017s      0.101w   7543 calls

**************************************************************************************

Host: CHEM9QDFT72ALT

Timers On : Mon Jul  7 09:00:32 2025
Timers Off: Mon Jul  7 09:01:08 2025

Wall Time:       36.16 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      3.383u      0.033s      1.963w     31 calls
Libint2ERI::Libint2ERI              :      0.300u      0.000s      0.242w     93 calls
HF: Form core H                     :      0.017u      0.000s      0.035w     31 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w     31 calls
HF: Guess                           :      1.033u      0.217s      0.643w     31 calls
SAD Guess                           :      1.000u      0.217s      0.630w     31 calls
HF: Form G                          :      1.317u      0.000s      0.787w    429 calls
JK: D                               :      0.000u      0.000s      0.001w    429 calls
JK: USO2AO                          :      0.067u      0.000s      0.025w    429 calls
JK: JK                              :      1.200u      0.000s      0.694w    429 calls
PK computes JK                      :      1.200u      0.000s      0.693w    429 calls
JK: AO2USO                          :      0.050u      0.000s      0.064w    429 calls
HF: Form F                          :      0.000u      0.000s      0.001w    429 calls
HF: Form D                          :      0.000u      0.000s      0.001w    429 calls
HF: DIIS                            :      0.733u      0.167s      0.527w    398 calls
HF: Form C                          :      0.100u      0.000s      0.058w    398 calls
ccenergy                            :     18.767u     16.817s     22.098w     31 calls
F build                             :      1.083u      0.583s      0.735w    551 calls
Wmbej build                         :      2.767u      2.550s      3.032w    551 calls
C->Wmbej                            :      0.033u      0.300s      0.169w    551 calls
F->Wmbej                            :      1.083u      1.817s      1.379w    551 calls
E->Wmbej                            :      0.383u      0.300s      0.315w    551 calls
X->Wmbej                            :      1.200u      0.100s      1.114w    551 calls
Z                                   :      2.100u      0.167s      1.744w    551 calls
T2 Build                            :      9.067u      6.200s      9.187w    551 calls
BT2                                 :      7.050u      3.417s      6.245w    551 calls
ABCD:new                            :      7.050u      3.417s      6.244w    551 calls
ABCD:S                              :      3.067u      0.300s      1.759w    551 calls
ABCD:A                              :      2.983u      0.317s      1.758w    551 calls
ABCD:axpy                           :      0.867u      2.533s      2.474w    551 calls
FT2                                 :      0.083u      0.317s      0.285w    551 calls
WmbejT2                             :      0.900u      0.683s      1.142w    551 calls
CT2                                 :      0.550u      1.283s      0.845w    551 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      3.383u      0.033s      1.963w     31 calls
| Libint2ERI::Libint2ERI            :      0.183u      0.000s      0.167w     62 calls
HF: Form core H                     :      0.017u      0.000s      0.035w     31 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w     31 calls
HF: Guess                           :      1.033u      0.217s      0.643w     31 calls
| SAD Guess                         :      1.000u      0.217s      0.630w     31 calls
HF: Form G                          :      1.317u      0.000s      0.787w    429 calls
| JK: D                             :      0.000u      0.000s      0.001w    429 calls
| JK: USO2AO                        :      0.067u      0.000s      0.025w    429 calls
| JK: JK                            :      1.200u      0.000s      0.694w    429 calls
| | PK computes JK                  :      1.200u      0.000s      0.693w    429 calls
| JK: AO2USO                        :      0.050u      0.000s      0.064w    429 calls
HF: Form F                          :      0.000u      0.000s      0.001w    429 calls
HF: Form D                          :      0.000u      0.000s      0.001w    429 calls
HF: DIIS                            :      0.733u      0.167s      0.527w    398 calls
HF: Form C                          :      0.100u      0.000s      0.058w    398 calls
Libint2ERI::Libint2ERI              :      0.117u      0.000s      0.075w     31 calls
ccenergy                            :     18.767u     16.817s     22.098w     31 calls
| F build                           :      1.083u      0.583s      0.735w    551 calls
| Wmbej build                       :      2.767u      2.550s      3.032w    551 calls
| | C->Wmbej                        :      0.033u      0.300s      0.169w    551 calls
| | F->Wmbej                        :      1.083u      1.817s      1.379w    551 calls
| | E->Wmbej                        :      0.383u      0.300s      0.315w    551 calls
| | X->Wmbej                        :      1.200u      0.100s      1.114w    551 calls
| Z                                 :      2.100u      0.167s      1.744w    551 calls
| T2 Build                          :      9.067u      6.200s      9.187w    551 calls
| | BT2                             :      7.050u      3.417s      6.245w    551 calls
| | | ABCD:new                      :      7.050u      3.417s      6.244w    551 calls
| | | | ABCD:S                      :      3.067u      0.300s      1.759w    551 calls
| | | | ABCD:A                      :      2.983u      0.317s      1.758w    551 calls
| | | | ABCD:axpy                   :      0.867u      2.533s      2.474w    551 calls
| | FT2                             :      0.083u      0.317s      0.285w    551 calls
| | WmbejT2                         :      0.900u      0.683s      1.142w    551 calls
| | CT2                             :      0.550u      1.283s      0.845w    551 calls

**************************************************************************************
